Locus,resTime,pol,
YDR181C,1.818,Pol II,
YPR046W,2.997,Pol II,
YGL025C,7.362,Pol II,
YML007W,1.393,Pol II,
YDR018C,2.211,Pol II,
YBL014C,2.98,Pol II,
snR79,1.428,Pol II,
YLR332W,4.552,Pol II,
YDL082W,1.774,Pol II,
YGR126W,3.818,Pol II,
YGR264C,6.933,Pol II,
YJL117W,3.085,Pol II,
YHR041C,3.761,Pol II,
YER176W,2.099,Pol II,
YDL043C,5.474,Pol II,
YDR439W,4.125,Pol II,
tT(AGU)I1,15.329,Pol III,
YJR076C,5.18,Pol II,
YLR060W,6.404,Pol II,
YCL030C,2.009,Pol II,
YPL064C,6.457,Pol II,
YNL216W,1.495,Pol II,
YDL141W,3.32,Pol II,
YDL143W,3.586,Pol II,
YOL152W,2.653,Pol II,
YER057C,2.654,Pol II,
YGL200C,10.347,Pol II,
YOR236W,12.468,Pol II,
YPL229W,2.168,Pol II,
YDR498C,1.396,Pol II,
YKL210W,2.466,Pol II,
YPL031C,1.566,Pol II,
YJL008C,6.778,Pol II,
YLR321C,6.015,Pol II,
YLR027C,4.54,Pol II,
YIL099W,2.88,Pol II,
YAR015W,3.156,Pol II,
YER026C,3.469,Pol II,
YGL023C,3.621,Pol II,
tS(AGA)D3,1.728,Pol III,
YMR259C,10.237,Pol II,
YLR175W,11.291,Pol II,
YPL225W,3.328,Pol II,
YLR093C,2.859,Pol II,
YOR073W,13.96,Pol II,
YDL110C,2.317,Pol II,
YAL008W,2.072,Pol II,
YCR030C,3.231,Pol II,
YER013W,9.061,Pol II,
YCL038C,3.417,Pol II,
YEL019C,6.269,Pol II,
YDR395W,8.187,Pol II,
YLR132C,4.481,Pol II,
YLR398C,5.342,Pol II,
YIL070C,15.433,Pol II,
YAL043C,5.893,Pol II,
YDR017C,2.155,Pol II,
YHR193C,2.811,Pol II,
tA(AGC)M2,10.918,Pol III,
YDR044W,2.545,Pol II,
YHR168W,2.465,Pol II,
YJR077C,2.004,Pol II,
YDL202W,3.182,Pol II,
YJR133W,2.42,Pol II,
