gene,time
YDR110W,<1
YKL163W,<1
YMR128W,<1
YKL193C,<1
YDR508C,<1
YER044C,<1
YCR020W-B,<1
YIL110W,<1
YDR486C,<1
YPL235W,<1
YKL068W,<1
YKR008W,<1
YKL138C-A,<1
YKL106C-A,<1
YDR245W,<1
YFR010W,<1
YMR147W,<1
YNL056W,<1
YNR012W,<1
YNR038W,<1
YBR296C,<1
YDR532C,<1
YNR029C,<1
YOR027W,<1
YDR105C,<1
YBL079W,<1
YBR187W,<1
YHR113W,<1
YCR030C,<1
YDL002C,<1
YJL010C,<1
YGR135W,<1
YJR032W,<1
YDR309C,<1
YER133W,<1
YMR297W,<1
YPL001W,<1
YDL231C,<1
YDR319C,<1
YJL059W,<1
YML017W,<1
YML125C,<1
YMR116C,<1
YER068W,<1
YJR060W,<1
YPR161C,<1
YGL085W,<1
YLR062C,<1
YGR093W,<1
YNL281W,<1
YCR020C-A,<1
YER018C,<1
YGL087C,<1
YER030W,<1
YHR088W,<1
YNL048W,<1
YCR057C,<1
YLR421C,<1
YPL098C,<1
YHR104W,<1
YGR207C,<1
YPR088C,<1
YDL182W,<1
YLR300W,<1
YKR045C,<1
YOL070C,<1
YOR167C,<1
YCL030C,<1
YGR005C,<1
YJR139C,<1
YEL011W,<1
YFR004W,<1
YOL058W,<1
YOR202W,<1
YOR299W,<1
YPR028W,<1
YER091C,<1
YKL029C,<1
YLR153C,<1
YPL099C,<1
YPL173W,<1
YBR025C,<1
YER009W,<1
YGL086W,<1
YHR163W,<1
YCL008C,<1
YNL290W,<1
YBR288C,<1
YER151C,<1
YGR159C,<1
YKL013C,<1
YLR093C,<1
YNR054C,<1
YOR340C,<1
YDR197W,<1
YIL142W,<1
YHR070W,<1
YOR264W,<1
YLR325C,<1
YPL090C,<1
YBL026W,<1
YOR036W,<1
YCL031C,<1
YGR006W,<1
YNL309W,<1
YNL039W,<1
YCL002C,<1
YDR017C,<1
YCR036W,<1
YJL051W,<1
YLR025W,<1
YCL011C,<1
YLR350W,<1
YDR370C,<1
YGL013C,<1
YDL128W,<1
YMR215W,<1
YNL209W,<1
YHR028C,<1
YMR031C,<1
YKL120W,<1
YNL323W,<1
YPL273W,<1
snR84,<1
YGL048C,<1
YLR180W,<1
YPR062W,<1
YIL034C,<1
YDR483W,<1
YJL076W,<1
YLR068W,<1
YER160C,<1
YER159C-A,<1
YMR091C,<1
YMR235C,<1
YMR285C,<1
YNR053C,<1
YMR076C,<1
YNL282W,<1
YLR364C-A,<1
YMR243C,<1
YBR289W,<1
YLR413W,<1
YKR024C,<1
YBR159W,<1
YDL108W,<1
YIL128W,<1
YLL006W,<1
YHR203C,<1
YKL023C-A,<1
YDL195W,<1
YGR136W,<1
YNL243W,<1
YBR029C,<1
YKL142W,<1
YMR149W,<1
YNL010W,<1
YER156C,<1
YGL009C,<1
YDL124W,<1
YMR314W,<1
YNL112W,<1
YDR423C,<1
YNL242W,<1
YKR088C,<1
YOR020C,<1
YDL092W,<1
YDL029W,<1
YHR072W-A,<1
YAR042W,<1
YDR080W,<1
YIL040W,<1
YEL004W,<1
YJR026W,<1
YJR027W,<1
YKL090W,<1
YLR318W,<1
YMR079W,<1
YDR261C,<1
YDR415C,<1
YIL109C,<1
YML059C,<1
YBR048W,<1
YDR318W,<1
YKL088W,<1
YDR481C,<1
YGR284C,<1
YJL158C,<1
YLR166C,<1
YDR176W,<1
YIL076W,<1
YGL226W,<1
YLR063W,<1
YBR026C,<1
YIL004C,<1
YNL236W,<1
YOL059W,<1
YOR317W,<1
YER143W,<1
YNL070W,<1
YBR262C,<1
YER053C-A,<1
YKL187C,<1
YMR295C,<1
YML022W,<1
YJL069C,<1
YLR084C,<1
YOR100C,<1
YMR237W,<1
YOR327C,<1
YDR316W-A,<1
YDR316W-B,<1
YFR052W,<1
YJR063W,<1
YLR386W,<1
